age,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,contact_cellular,contact_telephone,marital_divorced,marital_married,marital_single,job_admin.,job_blue_collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self_employed,job_services,job_student,job_technician,job_unemployed,job_unknown,days_in_year
58,3,0,2143,1,0,5,9,261,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
44,2,0,29,1,0,5,9,151,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
33,2,0,2,1,1,5,9,76,1,-1,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,248
47,2,0,1506,1,0,5,9,92,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
33,2,0,1,0,0,5,9,198,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,248
35,3,0,231,1,0,5,9,139,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
28,3,0,447,1,1,5,9,217,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
42,3,1,2,1,0,5,9,380,1,-1,0,0.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248
58,1,0,121,1,0,5,9,50,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
43,2,0,593,1,0,5,9,55,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
41,2,0,270,1,0,5,9,222,1,-1,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248
29,2,0,390,1,0,5,9,137,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
53,2,0,6,1,0,5,9,517,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
58,2,0,71,1,0,5,9,71,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
57,2,0,162,1,0,5,9,174,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
51,1,0,229,1,0,5,9,353,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
45,2,0,13,1,0,5,9,98,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
57,1,0,52,1,0,5,9,38,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
60,1,0,60,1,0,5,9,219,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
33,2,0,0,1,0,5,9,54,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
28,2,0,723,1,1,5,9,262,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
56,3,0,779,1,0,5,9,164,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
32,1,0,23,1,1,5,9,160,1,-1,0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
25,2,0,50,1,0,5,9,342,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
40,1,0,0,1,1,5,9,181,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
44,2,0,-372,1,0,5,9,172,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
39,3,0,255,1,0,5,9,296,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
